stop	latitude	longitude
Kiev,AS Petlyury	50.45729	30.38985
Žitomir,AS	50.2687	28.6921
Rivne,AS	50.61496	26.28289
Lvov,AS Strijskij	49.78689	24.01772
Nižnie Vorota,AS	48.77079	23.09872
Svaljava,AS	48.55142	22.98923
Lanžhot,CLO	48.72906	16.97309
Chust,AS	48.16172	23.29888
Tjačiv,AS	48.01386	23.57576
Rachiv,AS	48.0547	24.20851
Hulín,u mostu	49.31456	17.47069
Hulín,TOS	49.31097	17.47728
Starý Jičín,Jičina,kaple	49.57152	17.96219
Braunschweig,ZOB	52.25118	10.53668
Bad Oeynhausen,ZOB	52.20531	8.79954
Osnabrück,Busbahnhof	52.27898	8.1539
Enschede,Centraal Station	52.22192	6.88922
Nijmegen,Centraal Station	51.84378	5.85374
Eindhoven,JF Kennedylaan/Limbopad	51.44569	5.48097
Neuville-en-Ferrain,CLO	49.8314	3.3183
Podbřežice,rozc.1.0	49.20813	16.92055
Jablůnka,záv.	49.39139	17.96293
Chrudim,nemocnice	49.94292	15.80606
Písek,Obecní	49.28531	14.17678
Velykyi Bychkiv,AS	47.97232	23.99485
Nové Město na Mor.,Polní	49.56966	16.06766
Nové Město na Mor.,Karníkova	49.57318	16.08091
Spišská N.Ves,AS	48.95008	20.55656
Kapušany,Prešovská ul.	49.04364	21.3351
Hanušovce n.Topľou,nám.	49.02809	21.50566
Vranov n.Topľou,AS	48.89131	21.67415
Strážske,aut.st.	48.87289	21.83608
Humenné,žel.st.	48.93045	21.90026
Snina,nám.	48.98645	22.1495
Luhačovice,Valaška	49.08895	17.73658
Pozlovice,PV ZD	49.12271	17.75844
Aachen,ZOLL	50.71921	6.1225
Windhof,ZOLL	52.29669	10.56108
Brussel,Gare du Midi	50.83475	4.33258
Karlovy Vary,Globus	50.21777	12.80647
Karlovy Vary,Kpt.Jaroše	50.22536	12.83913
Nýrsko,Pod Mezí	49.29686	13.15117
Ústí n.Orl.,Tvardkova	49.9748	16.40101
Tišnov,Hájek,rozc.1.4	49.365	16.45333
Liptál,Lůžko	49.27676	17.91428
Kumanovo	42.13077	21.72905
Skopje,AS	41.99122	21.44725
Plánice,Bližanovy,točna	49.4214	13.50603
Lvov,AS	49.83859	23.99524
Ternopiľ,AS	49.54353	25.59648
Chmeľnickij,AS	49.43183	27.02528
Vinnica,AS	49.23672	28.48297
Kehl,haltestelle Hbf	47.46389	8.28782
Heilbronn,Hbf	49.12541	9.18242
Šanov,rozc.1.0	49.05723	17.89185
Nový Knín,Sídliště	49.78456	14.2943
Prostřední Bečva,Pod Tanečnicí lom	49.47958	18.28626
Machov,Machovská Lhota,CLO	50.49843	16.28666
Karlów,Ostra Góra,CLO	50.2304	19.72057
Chisinau,aut.nádr.	47.01939	28.84519
Orhei,aut.nádr.	47.37826	28.8187
Ostrava,Poruba,PZ	49.81307	18.15585
Studénka,Butovice,Vagónka vrát.2	49.70551	18.05187
Kudowa Zdrój,Czermna,CLO	50.4483	16.23419
Hronov,Malá Čermná,CLO	50.44776	16.23267
Hošťálková,Kovex	49.35271	17.86174
Rosice,Litostrovská	49.18749	16.3757
Rosice,Okrouhlík	49.20051	16.36322
Rosice,kamenolom	49.20488	16.3416
Havlíčkův Brod,Svatý Kříž,u pomníku	49.56724	15.57722
Chotutice,Průběžná	50.07304	14.99781
Dolní Jiřetín,Centrum	50.55505	13.59229
Jablonec n.Nisou,Pod sídlištěm	50.73025	15.18513
Pálovice,náves	49.00532	15.53738
Mackovice,rozc.2.6	48.90082	16.29337
Holýšov,Kasárenská	49.61021	13.08746
Katowice,dw.PKS ul.Piotra Skargi	50.25937	19.0099
Kraków,MDA Bosacka	50.06792	19.94952
Medyka,CLO	49.80378	22.92329
Korczowa,CLO	49.9551728	23.1121481
Lvov,žel.st.	50.78099	14.78788
Kolomyja,AS	48.52482	25.02801
K.-Podilskyy,AS	48.67758	26.59666
Vinnica,AS Zachidnij	49.23711	28.40386
Kiev,AS	50.44554	30.49921
Boryspil,AS	50.34787	30.9555
Jahotyn,AS	50.23841	31.79545
Pyryatyn,AS	50.22087	32.51636
Lubny,AS	50.02335	32.96958
Hlyboka Dolyna,AS	49.42474	33.75831
Poltawa,AS	49.7921	33.30234
Valky,AS	49.82916	35.60831
Charkov,AS Haharina	49.97773	36.26825
Bravantice,Lidl	49.7561	18.10058
Sezemice,Počaply	50.06838	15.83076
Vejprty,CLO	50.47121	13.02084
Kuřim,kult.dům	49.30767	16.5318
Říčany,Radošovice,Rondel	49.99884	14.66508
Pardubice,Dukla,KD	50.0252	15.76377
Nádraží	49.99724	14.66427
Metropol	50.03368	14.37408
Letiště České Budějovice-Terminál	48.9503	14.43544
